codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
901006,RJA9F56,22,-23.000724,-43.366418,2023-07-26 04:02:13,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],19377.1,
901004,RJQ8J80,53,-23.000675,-43.365456,2023-07-26 04:02:13,0.0,,volta,53 - SENTIDO SULACAP (EXPRESSO) [VOLTA],21425.9,
30504,,25,-23.002296,-43.42174,2023-07-26 04:02:12,55.9,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],53618.6,70.0
47031,KYW5240,20,-22.992461,-43.598487,2023-07-26 04:02:17,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],50882.4,
30538,KXE7719,20,-22.921937,-43.679778,2023-07-26 04:02:21,13.3,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],55844.0,158.0
50309,KPN6B05,12,-22.992386,-43.59871,2023-07-26 04:02:09,34.4,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],20066.8,133.0
30532,KYL8599,12,-22.916373,-43.607577,2023-07-26 04:02:19,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],41734.7,265.0
13403,LTF5447,10,-22.916425,-43.607046,2023-07-26 04:02:11,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],53234.6,
47030,LSQ5263,20,-22.918563,-43.682752,2023-07-26 04:02:09,3.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],53763.2,321.0
30519,LRE9804,11,-22.920074,-43.608092,2023-07-26 04:02:20,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],51494.8,
90005,KWK6A89,10,-23.000714,-43.366069,2023-07-26 04:02:14,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],49795.4,87.0
30518,KYL8597,25,-22.999936,-43.581384,2023-07-26 04:02:13,59.5,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],37086.8,104.0
902090,,35,-23.001359,-43.366022,2023-07-26 04:02:09,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],15054.8,
86885,LTB5540,14,-22.919014,-43.607023,2023-07-26 04:02:20,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],514714.4,
12738,KRR2404,10,-23.00092,-43.367218,2023-07-26 04:02:23,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],37367.3,
47006,KWZ8630,20,-22.919648,-43.607469,2023-07-26 03:24:42,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],50857.6,
47007,LSP6018,18,-22.920594,-43.607709,2023-07-26 04:02:21,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],42179.7,
13413,KWI9711,12,-22.916693,-43.60699,2023-07-26 04:02:10,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],43494.2,359.0
90001,KPZ5E15,13,-22.916009,-43.61011,2023-07-26 04:02:05,30.5,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],44115.3,266.0
901057,,22,-22.861938,-43.400219,2023-07-26 04:02:14,7.7,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],51031.3,233.0
86874,KQB4102,20,-22.920027,-43.60836,2023-07-26 04:02:13,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],512857.8,
86879,LTN5696,18,-22.919635,-43.607651,2023-07-26 04:02:07,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],1794.6,
30537,KXE7720,12,-22.920733,-43.607925,2023-07-26 04:02:21,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],51504.4,
50301,KPP5B70,18,-23.000856,-43.367642,2023-07-26 04:02:24,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],3941.1,
44713,KPZ3559,20,-22.919956,-43.607517,2023-07-26 04:02:14,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],29573.0,
13401,KQO7822,20,-22.94114,-43.663596,2023-07-26 04:02:14,47.4,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],53620.7,116.0
47026,KYA7928,10,-22.92058,-43.608055,2023-07-26 04:02:11,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],32900.199,83.0
86889,KRQ6878,10,-23.000893,-43.367123,2023-07-26 04:02:17,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],514962.4,
12724,LMJ1118,20,-22.952238,-43.649643,2023-07-26 04:02:18,53.2,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],9624.6,154.0
27209,LSL9B07,18,-22.920393,-43.607031,2023-07-26 04:01:51,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],10056.3,
27176,LRK9563,18,-22.919209,-43.607867,2023-07-26 04:02:10,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],13481.9,
30511,KPV2250,13,-23.002161,-43.572137,2023-07-26 04:02:05,58.9,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],49412.1,104.0
13427,KXE7711,0,-22.921948,-43.679789,2023-07-26 04:02:15,13.9,,,,51845.8,161.0
12725,LMJ1327,25,-23.000738,-43.367731,2023-07-26 04:02:10,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],39235.4,
47022,KRM7701,10,-22.999309,-43.584021,2023-07-26 04:02:24,59.1,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],12908.3,105.0
12736,LMJ4504,20,-22.919859,-43.608283,2023-07-26 04:02:18,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],15483.9,18.0
13422,LSI5978,20,-22.919243,-43.682149,2023-07-26 04:02:11,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],40371.8,
13402,LTL5480,12,-22.920237,-43.607757,2023-07-26 04:02:17,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],43258.9,
47017,LRS2841,20,-22.919878,-43.607004,2023-07-26 04:02:12,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],47884.7,
86859,KWJ9250,20,-22.919595,-43.607445,2023-07-26 04:02:19,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],18669.2,
30509,KYM4574,11,-22.992846,-43.59808,2023-07-26 04:02:15,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],53018.1,
12720,KXD9430,20,-22.918,-43.683081,2023-07-26 04:02:18,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],21733.3,
12712,LSN8501,19,-22.920244,-43.608072,2023-07-26 04:02:12,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],31093.7,
13407,KPY9732,20,-22.933636,-43.662777,2023-07-26 04:02:24,39.2,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],45411.8,259.0
30521,LRC6594,25,-22.920281,-43.60821,2023-07-26 04:02:14,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],34814.5,167.0
12739,LMJ4F12,20,-22.918857,-43.607229,2023-07-26 04:02:22,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],23710.0,
30542,KXE7717,12,-23.000852,-43.367612,2023-07-26 03:01:58,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],52940.3,
47010,KPZ8363,13,-22.944154,-43.660696,2023-07-26 04:02:14,36.9,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],42561.1,138.0
86884,LSP9604,20,-23.000699,-43.367341,2023-07-26 04:02:17,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],15290.3,
12734,LSP8673,11,-22.920181,-43.607862,2023-07-26 04:02:08,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],16894.9,
90006,LRH6D12,10,-23.000963,-43.367253,2023-07-26 04:02:13,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],29671.3,
30531,LRC6592,19,-22.966257,-43.644918,2023-07-26 03:11:43,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],40556.8,102.0
30524,LRC6601,10,-22.918916,-43.607554,2023-07-26 04:02:00,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],29203.5,90.0
12731,,18,-22.919269,-43.607658,2023-07-26 04:02:14,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],39930.0,
86870,LSC9364,0,-22.919654,-43.608503,2023-07-26 03:01:47,0.0,,,,3175.4,
13415,KQK7905,18,-22.99307,-43.597888,2023-07-26 04:02:13,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],45109.4,129.0
901002,,22,-23.000748,-43.365925,2023-07-26 04:02:23,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],17393.7,
B13,KYM5979,14,-22.921129,-43.644961,2023-07-26 04:02:24,45.3,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1122.7,243.0
B16,LSI3468,14,-22.961319,-43.64845,2023-07-26 03:02:15,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1124.0,
B35,LTI1196,14,-22.961237,-43.648253,2023-07-26 03:02:23,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1073.3,
B18,KRK9729,14,-22.961429,-43.648466,2023-07-26 03:02:25,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1124.5,
B20,LMH6141,14,-22.961221,-43.648184,2023-07-26 04:02:23,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1131.8,
B14,KRK9519,14,-22.919867,-43.642255,2023-07-26 04:02:18,59.8,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1132.1,63.0
